id,nom,supertype,rarity,set_name,set_annee,numero,hp,artist,subtypes,types,prix_market,prix_mid,type_prix
ex4-3,Team Aqua's Kyogre,Pokémon,Rare Holo,Team Magma vs Team Aqua,2004,3,100,K. Hoshiba,Basic,"Water, Darkness",55.1,534.51,holofoil
base3-5,Gengar,Pokémon,Rare Holo,Fossil,1999,5,80,Keiji Kinebuchi,Stage 2,Psychic,,,
dv1-5,Dragonite,Pokémon,Rare Holo,Dragon Vault,2012,5,150,Mitsuhiro Arita,Stage 2,Dragon,22.15,23.9,holofoil
dp4-3,Darkrai,Pokémon,Rare Holo,Great Encounters,2008,3,70,Masakazu Fukuda,Basic,Darkness,26.19,273.19,holofoil
dp3-5,Flygon,Pokémon,Rare Holo,Secret Wonders,2007,5,120,Daisuke Ito,Stage 2,Fighting,10.79,12.98,holofoil
bw1-3,Servine,Pokémon,Uncommon,Black & White,2011,3,80,Kagemaru Himeno,Stage 1,Grass,0.45,0.39,normal
ecard2-H5,Bellossom,Pokémon,Rare Holo,Aquapolis,2003,H5,90,Sumiyoshi Kizuki,Stage 2,Grass,,,
pop1-3,Rayquaza,Pokémon,Rare,POP Series 1,2004,3,80,Katsura Tabata,Basic,Colorless,58.67,80.78,normal
gym2-4,Erika's Venusaur,Pokémon,Rare Holo,Gym Challenge,2000,4,90,Ken Sugimori,Stage 2,Grass,,,
xy4-3,Yanma,Pokémon,Common,Phantom Forces,2014,3,70,Shin Nagasawa,Basic,Grass,0.14,0.2,normal
ex10-2,Ariados,Pokémon,Rare Holo,Unseen Forces,2005,2,70,Mitsuhiro Arita,Stage 1,Grass,14.09,20.72,holofoil
xy7-4,Bellossom,Pokémon,Uncommon,Ancient Origins,2015,4,120,Mizue,Stage 2,Grass,0.37,0.35,normal
pl1-5,Dialga,Pokémon,Rare Holo,Platinum,2009,5,100,Mitsuhiro Arita,Basic,Metal,15.35,15.0,holofoil
pop3-3,Jolteon,Pokémon,Rare,POP Series 3,2006,3,70,Masakazu Fukuda,Stage 1,Lightning,23.75,59.99,normal
ex8-3,Breloom,Pokémon,Rare Holo,Deoxys,2005,3,80,Hajime Kusajima,Stage 1,Fighting,26.0,19.9,normal
basep-2,Electabuzz,Pokémon,Promo,Wizards Black Star Promos,1999,2,60,Ken Sugimori,Basic,Lightning,10.19,9.01,normal
base6-3,Charizard,Pokémon,Rare Holo,Legendary Collection,2002,3,120,Mitsuhiro Arita,Stage 2,Fire,486.99,700.0,holofoil
bw4-3,Kricketot,Pokémon,Common,Next Destinies,2012,3,60,MAHOU,Basic,Grass,0.22,0.25,normal
hgss2-2,Magmortar,Pokémon,Rare Holo,HS—Unleashed,2010,2,110,Hajime Kusajima,Stage 1,Fire,4.53,5.5,holofoil
bw11-3,Shuckle,Pokémon,Uncommon,Legendary Treasures,2013,3,80,MAHOU,Basic,Grass,5.04,9.47,normal
pop7-4,Latios,Pokémon,Rare,POP Series 7,2008,4,90,Daisuke Ito,Basic,Colorless,23.13,12.79,normal
ru1-4,Heatran,Pokémon,,Pokémon Rumble,2009,4,110,Pokemon Rumble,Basic,Fire,46.9,109.98,normal
neo3-2,Blissey,Pokémon,Rare Holo,Neo Revelation,2001,2,120,Yuka Morii,Stage 1,Colorless,,,
mcd19-5,Lapras,Pokémon,,McDonald's Collection 2019,2019,5,120,Saya Tsuruta,Basic,Water,17.06,22.0,holofoil
sm8-2,Tangrowth,Pokémon,Rare,Lost Thunder,2018,2,140,Atsuko Nishida,Stage 1,Grass,0.35,0.35,normal
sm75-2,Charmeleon,Pokémon,Uncommon,Dragon Majesty,2018,2,80,kodama,Stage 1,Fire,0.77,0.77,normal
sm9-5,Beedrill,Pokémon,Rare,Team Up,2019,5,130,You Iribi,Stage 2,Grass,0.37,0.38,normal
bw6-2,Skiploom,Pokémon,Uncommon,Dragons Exalted,2012,2,60,Suwama Chiaki,Stage 1,Grass,0.24,0.29,normal
neo4-3,Dark Donphan,Pokémon,Rare Holo,Neo Destiny,2002,3,60,Shin-ichi Yoshida,Stage 1,Fighting,,,
bw7-3,Vileplume,Pokémon,Rare Holo,Boundaries Crossed,2012,3,140,Shin Nagasawa,Stage 2,Grass,3.36,3.35,holofoil
swsh35-4,Beedrill,Pokémon,Uncommon,Champion's Path,2020,4,140,Hideki Ishikawa,Stage 2,Grass,0.1,0.16,normal
pop9-3,Raichu,Pokémon,Rare,POP Series 9,2009,3,90,Midori Harada,Stage 1,Lightning,9.6,21.8,normal
dpp-DP03,Piplup,Pokémon,Promo,DP Black Star Promos,2007,DP03,60,Atsuko Nishida,Basic,Water,18.97,24.99,holofoil
xy10-2,Burmy,Pokémon,Common,Fates Collide,2016,2,60,Kouki Saitou,Basic,Grass,0.15,0.18,normal
sm115-4,Paras,Pokémon,Common,Hidden Fates,2019,4,70,OOYAMA,Basic,Grass,0.04,0.15,normal
base1-2,Blastoise,Pokémon,Rare Holo,Base,1999,2,100,Ken Sugimori,Stage 2,Water,206.42,218.34,holofoil
sm3-3,Butterfree,Pokémon,Rare,Burning Shadows,2017,3,120,Shin Nagasawa,Stage 2,Grass,0.39,0.37,normal
xy2-5,Seedot,Pokémon,Common,Flashfire,2014,5,50,Naoyo Kimura,Basic,Grass,0.16,0.2,normal
xy1-3,Weedle,Pokémon,Common,XY,2014,3,50,Suwama Chiaki,Basic,Grass,0.28,0.25,normal
ex14-2,Blastoise δ,Pokémon,Rare Holo,Crystal Guardians,2006,2,110,Masakazu Fukuda,Stage 2,"Fighting, Metal",263.3,275.06,holofoil
det1-5,Charizard,Pokémon,Rare Ultra,Detective Pikachu,2019,5,180,Framestore,Stage 2,Fire,9.88,9.77,holofoil
pl1-6,Dialga,Pokémon,Rare Holo,Platinum,2009,6,100,Kouki Saitou,Basic,Metal,12.88,26.37,holofoil
dpp-DP04,Pachirisu,Pokémon,Promo,DP Black Star Promos,2007,DP04,70,Atsuko Nishida,Basic,Lightning,20.67,14.95,holofoil
xy5-5,Tangrowth,Pokémon,Rare,Primal Clash,2015,5,130,MAHOU,Stage 1,Grass,0.34,0.33,normal
pop6-5,Rampardos,Pokémon,Rare,POP Series 6,2007,5,120,Kazuyuki Kano,Stage 2,Fighting,3.36,4.58,normal
xy2-6,Nuzleaf,Pokémon,Uncommon,Flashfire,2014,6,80,Midori Harada,Stage 1,Grass,0.15,0.25,normal
ex14-3,Camerupt,Pokémon,Rare Holo,Crystal Guardians,2006,3,80,Mitsuhiro Arita,Stage 1,Fire,7.49,14.0,holofoil
dv1-6,Bagon,Pokémon,Rare Holo,Dragon Vault,2012,6,50,Kouki Saitou,Basic,Dragon,1.7,1.7,holofoil
ex8-4,Camerupt,Pokémon,Rare Holo,Deoxys,2005,4,90,Tomokazu Komiya,Stage 1,Fire,25.61,67.29,holofoil
dp4-4,Darkrai,Pokémon,Rare Holo,Great Encounters,2008,4,80,Ryo Ueda,Basic,Darkness,25.78,24.25,holofoil
pop4-4,Mew,Pokémon,Rare,POP Series 4,2006,4,70,Nakaoka,Basic,Psychic,80.0,420.09,normal
neo3-3,Celebi,Pokémon,Rare Holo,Neo Revelation,2001,3,50,Hironobu Yoshida,Basic,Psychic,,,
sm9-6,Paras,Pokémon,Common,Team Up,2019,6,70,Naoyo Kimura,Basic,Grass,0.18,0.2,normal
sm8-3,Scyther,Pokémon,Common,Lost Thunder,2018,3,80,Kouki Saitou,Basic,Grass,0.28,0.3,normal
hgss2-3,Manaphy,Pokémon,Rare Holo,HS—Unleashed,2010,3,60,Masakazu Fukuda,Basic,Water,7.44,15.64,holofoil
base5-3,Dark Blastoise,Pokémon,Rare Holo,Team Rocket,2000,3,70,Mitsuhiro Arita,Stage 2,Water,,,
dp1-4,Empoleon,Pokémon,Rare Holo,Diamond & Pearl,2007,4,130,Nakaoka,Stage 2,Water,14.21,14.31,holofoil
base3-6,Haunter,Pokémon,Rare Holo,Fossil,1999,6,50,Ken Sugimori,Stage 1,Psychic,,,
neo4-4,Dark Espeon,Pokémon,Rare Holo,Neo Destiny,2002,4,60,Atsuko Nishida,Stage 1,Psychic,,,
sm2-3,Victreebel,Pokémon,Rare,Guardians Rising,2017,3,140,TOKIYA,Stage 2,Grass,0.34,0.34,normal
bw10-5,Tropius,Pokémon,Uncommon,Plasma Blast,2013,5,100,Shigenori Negishi,Basic,Grass,0.27,0.27,normal
pop9-4,Regigigas,Pokémon,Rare,POP Series 9,2009,4,100,Kent Kanetsuna,Basic,Colorless,3.07,3.03,normal
ex11-6,Gardevoir δ,Pokémon,Rare Holo,Delta Species,2005,6,100,Mitsuhiro Arita,Stage 2,"Psychic, Metal",90.49,90.97,holofoil
hgss4-6,Nidoking,Pokémon,Rare Holo,HS—Triumphant,2010,6,140,match,Stage 2,Fighting,10.89,12.02,holofoil
ex10-3,Bellossom,Pokémon,Rare Holo,Unseen Forces,2005,3,90,Kouki Saitou,Stage 2,Grass,24.11,19.98,holofoil
si1-5,Ivysaur,Pokémon,,Southern Islands,2001,5,60,Keiko Fukuyama,Stage 1,Grass,43.6,145.29,normal
bw11-4,Cherubi,Pokémon,Uncommon,Legendary Treasures,2013,4,40,Atsuko Nishida,Basic,Grass,0.4,0.4,normal
swsh1-4,Roserade,Pokémon,Rare,Sword & Shield,2020,4,120,chibi,Stage 1,Grass,0.23,0.25,normal
bw7-4,Bellossom,Pokémon,Rare,Boundaries Crossed,2012,4,110,Mizue,Stage 2,Grass,0.72,0.71,normal
bw8-3,Torterra,Pokémon,Rare,Plasma Storm,2013,3,150,5ban Graphics,"Stage 2, Team Plasma",Grass,5.74,5.72,normal
ex7-5,Dark Houndoom,Pokémon,Rare Holo,Team Rocket Returns,2004,5,70,Mitsuhiro Arita,Stage 1,"Fire, Darkness",64.56,87.49,holofoil
xy10-3,Wormadam,Pokémon,Uncommon,Fates Collide,2016,3,120,kawayoo,Stage 1,Grass,0.27,0.25,normal
base1-3,Chansey,Pokémon,Rare Holo,Base,1999,3,120,Ken Sugimori,Basic,Colorless,49.22,45.0,holofoil
sm115-5,Scyther,Pokémon,Uncommon,Hidden Fates,2019,5,100,Hasuno,Basic,Grass,0.1,0.19,normal
sm75-3,Charizard,Pokémon,Rare Holo,Dragon Majesty,2018,3,160,Ryota Murayama,Stage 2,Fire,14.04,15.28,holofoil
xy11-5,Jumpluff,Pokémon,Rare,Steam Siege,2016,5,90,Suwama Chiaki,Stage 2,Grass,0.29,0.31,normal
det1-6,Arcanine,Pokémon,Rare,Detective Pikachu,2019,6,120,MPC Film,Stage 1,Fire,2.56,2.6,holofoil
ex9-5,Groudon,Pokémon,Rare Holo,Emerald,2005,5,80,Kouki Saitou,Basic,Fighting,23.62,75.37,normal
pop1-4,Sceptile,Pokémon,Rare,POP Series 1,2004,4,100,Hiromichi Sugiyama,Stage 2,Grass,19.67,19.59,normal
bw9-2,Kakuna,Pokémon,Uncommon,Plasma Freeze,2013,2,80,match,Stage 1,Grass,0.32,0.32,normal
pop3-4,Minun,Pokémon,Rare,POP Series 3,2006,4,50,Sumiyoshi Kizuki,Basic,Lightning,8.21,80.0,normal
ex12-6,Golem,Pokémon,Rare Holo,Legend Maker,2006,6,120,Hajime Kusajima,Stage 2,Fighting,10.22,10.22,holofoil
bw4-4,Kricketune,Pokémon,Uncommon,Next Destinies,2012,4,90,Naoyo Kimura,Stage 1,Grass,0.29,0.29,normal
base6-4,Dark Blastoise,Pokémon,Rare Holo,Legendary Collection,2002,4,70,Mitsuhiro Arita,Stage 2,Water,140.5,75.64,holofoil
basep-3,Mewtwo,Pokémon,Promo,Wizards Black Star Promos,1999,3,70,Ken Sugimori,Basic,Psychic,41.78,40.41,normal
dp3-6,Gallade,Pokémon,Rare Holo,Secret Wonders,2007,6,130,Daisuke Ito,Stage 2,Fighting,10.91,66.82,holofoil
hgss1-6,Jumpluff,Pokémon,Rare Holo,HeartGold & SoulSilver,2010,6,90,sui,Stage 2,Grass,6.9,7.0,holofoil
mcd19-6,Pikachu,Pokémon,,McDonald's Collection 2019,2019,6,60,Kagemaru Himeno,Basic,Lightning,28.55,361.38,holofoil
sm12-4,Vileplume-GX,Pokémon,Rare Holo GX,Cosmic Eclipse,2019,4,240,Kagemaru Himeno,"Stage 2, GX",Grass,16.71,19.23,holofoil
pop7-5,Mothim,Pokémon,Rare,POP Series 7,2008,5,80,Kazuyuki Kano,Stage 1,Grass,1.86,2.25,normal
swsh35-5,Eldegoss V,Pokémon,Rare Holo V,Champion's Path,2020,5,180,5ban Graphics,"Basic, V",Grass,1.0,1.0,holofoil
ex4-4,Team Aqua's Manectric,Pokémon,Rare Holo,Team Magma vs Team Aqua,2004,4,70,K. Utsunomiya,Stage 1,"Lightning, Darkness",22.37,39.5,holofoil
sm5-4,Roselia,Pokémon,Common,Ultra Prism,2018,4,70,Kyoko Umemoto,Basic,Grass,0.16,0.21,normal
bw6-3,Jumpluff,Pokémon,Rare,Dragons Exalted,2012,3,90,Kagemaru Himeno,Stage 2,Grass,0.83,0.78,normal
ecard2-H6,Blissey,Pokémon,Rare Holo,Aquapolis,2003,H6,120,Naoyo Kimura,Stage 1,Colorless,,,
ru1-5,Starmie,Pokémon,,Pokémon Rumble,2009,5,80,Pokemon Rumble,Stage 1,Water,119.98,149.98,normal
pl4-4,Kabutops,Pokémon,Rare Holo,Arceus,2009,4,130,Hajime Kusajima,Stage 2,Fighting,13.94,20.48,holofoil
hgss2-4,Metagross,Pokémon,Rare Holo,HS—Unleashed,2010,4,130,Wataru Kawahara,Stage 2,Psychic,14.13,14.0,holofoil
dv1-7,Shelgon,Pokémon,Rare Holo,Dragon Vault,2012,7,80,Akira Komayama,Stage 1,Dragon,1.69,1.5,holofoil
col1-4,Espeon,Pokémon,Rare Holo,Call of Legends,2011,4,90,match,Stage 1,Psychic,47.88,49.1,holofoil
gym1-4,Erika's Dragonair,Pokémon,Rare Holo,Gym Heroes,2000,4,80,Atsuko Nishida,Stage 1,Colorless,,,
sm8-4,Pinsir,Pokémon,Uncommon,Lost Thunder,2018,4,110,Suwama Chiaki,Basic,Grass,0.16,0.22,normal
bw5-4,Scyther,Pokémon,Uncommon,Dark Explorers,2012,4,80,Naoki Saito,Basic,Grass,3.86,3.81,normal
xy5-6,Treecko,Pokémon,Common,Primal Clash,2015,6,60,Akira Komayama,Basic,Grass,0.25,0.25,normal
mcd19-7,Gastly,Pokémon,,McDonald's Collection 2019,2019,7,50,Shibuzoh.,Basic,Psychic,12.07,5.0,holofoil
gym2-5,Giovanni's Gyarados,Pokémon,Rare Holo,Gym Challenge,2000,5,90,Ken Sugimori,Stage 1,Water,,,
sm3-4,Oddish,Pokémon,Common,Burning Shadows,2017,4,50,Sumiyoshi Kizuki,Basic,Grass,0.21,0.21,normal
ex13-4,Deoxys δ,Pokémon,Rare Holo,Holon Phantoms,2006,4,80,Kagemaru Himeno,Basic,Metal,37.49,411.6,holofoil
sm115-6,Pinsir-GX,Pokémon,Rare Holo GX,Hidden Fates,2019,6,180,5ban Graphics,"Basic, GX",Grass,1.38,1.57,holofoil
xy7-5,Spinarak,Pokémon,Common,Ancient Origins,2015,5,50,Naoyo Kimura,Basic,Grass,0.18,0.2,normal
xy2-7,Shiftry,Pokémon,Rare Holo,Flashfire,2014,7,140,Kouki Saitou,Stage 2,Grass,0.46,0.5,holofoil
base4-5,Clefable,Pokémon,Rare Holo,Base Set 2,2000,5,70,Mitsuhiro Arita,Stage 1,Colorless,17.7,16.16,holofoil
xy1-4,Kakuna,Pokémon,Uncommon,XY,2014,4,70,Kouki Saitou,Stage 1,Grass,0.3,0.29,normal
xy11-6,Yanma,Pokémon,Common,Steam Siege,2016,6,70,match,Basic,Grass,0.12,0.17,normal
ex12-7,Kabutops,Pokémon,Rare Holo,Legend Maker,2006,7,110,Mitsuhiro Arita,Stage 2,Fighting,36.46,96.78,holofoil
pl4-5,Luxray,Pokémon,Rare Holo,Arceus,2009,5,120,kawayoo,Stage 2,Lightning,5.14,4.99,holofoil
xy4-4,Yanmega,Pokémon,Rare,Phantom Forces,2014,4,110,Mitsuhiro Arita,Stage 1,Grass,0.39,0.39,normal
hgss1-7,Ninetales,Pokémon,Rare Holo,HeartGold & SoulSilver,2010,7,90,TOKIYA,Stage 1,Fire,31.14,40.0,holofoil
bw7-5,Tangela,Pokémon,Common,Boundaries Crossed,2012,5,80,MAHOU,Basic,Grass,0.31,0.35,normal
dp3-7,Gardevoir,Pokémon,Rare Holo,Secret Wonders,2007,7,110,Atsuko Nishida,Stage 2,Psychic,53.02,30.29,holofoil
bw1-4,Servine,Pokémon,Uncommon,Black & White,2011,4,80,5ban Graphics,Stage 1,Grass,0.6,0.49,normal
base3-7,Hitmonlee,Pokémon,Rare Holo,Fossil,1999,7,60,Ken Sugimori,Basic,Fighting,,,
base6-5,Dark Dragonite,Pokémon,Rare Holo,Legendary Collection,2002,5,70,Mitsuhiro Arita,Stage 2,Colorless,209.26,275.0,holofoil
sm5-5,Roserade,Pokémon,Rare,Ultra Prism,2018,5,100,Mitsuhiro Arita,Stage 1,Grass,0.38,0.38,normal
bw10-6,Karrablast,Pokémon,Common,Plasma Blast,2013,6,60,match,Basic,Grass,0.19,0.22,normal
basep-4,Pikachu,Pokémon,Promo,Wizards Black Star Promos,1999,4,50,Ken Sugimori,Basic,Lightning,42.01,56.0,normal
pop7-6,Delibird,Pokémon,Uncommon,POP Series 7,2008,6,70,Masakazu Fukuda,Basic,Water,18.08,25.37,normal
si1-6,Raticate,Pokémon,,Southern Islands,2001,6,60,Keiko Fukuyama,Stage 1,Colorless,25.67,35.0,normal
det1-7,Psyduck,Pokémon,Common,Detective Pikachu,2019,7,80,Framestore,Basic,Water,0.59,0.63,holofoil
dp1-5,Infernape,Pokémon,Rare Holo,Diamond & Pearl,2007,5,100,Nakaoka,Stage 2,Fire,18.42,18.58,holofoil
pop3-5,Plusle,Pokémon,Rare,POP Series 3,2006,5,50,Sumiyoshi Kizuki,Basic,Lightning,21.96,32.0,normal
ex7-6,Dark Hypno,Pokémon,Rare Holo,Team Rocket Returns,2004,6,70,Kouki Saitou,Stage 1,"Psychic, Darkness",54.71,60.96,holofoil
pop9-5,Rotom,Pokémon,Rare,POP Series 9,2009,5,70,Masakazu Fukuda,Basic,Lightning,3.6,4.02,normal
ex10-4,Feraligatr,Pokémon,Rare Holo,Unseen Forces,2005,4,120,Masakazu Fukuda,Stage 2,Water,88.45,108.33,holofoil
hgss4-7,Porygon-Z,Pokémon,Rare Holo,HS—Triumphant,2010,7,110,Kouki Saitou,Stage 2,Colorless,5.37,7.71,holofoil
neo3-4,Crobat,Pokémon,Rare Holo,Neo Revelation,2001,4,90,Shin-ichi Yoshida,Stage 2,Grass,,,
sm2-4,Petilil,Pokémon,Common,Guardians Rising,2017,4,50,Naoki Saito,Basic,Grass,0.16,0.18,normal
ex4-5,Team Aqua's Sharpedo,Pokémon,Rare Holo,Team Magma vs Team Aqua,2004,5,70,Katsura Tabata,Stage 1,"Water, Darkness",40.67,59.99,holofoil
base1-4,Charizard,Pokémon,Rare Holo,Base,1999,4,120,Mitsuhiro Arita,Stage 2,Fire,555.88,675.65,holofoil
pl3-5,Garchomp,Pokémon,Rare Holo,Supreme Victors,2009,5,130,Mitsuhiro Arita,Stage 2,Colorless,38.71,39.49,holofoil
pl1-7,Dialga G,Pokémon,Rare Holo,Platinum,2009,7,100,Yusuke Ishikawa,"Basic, SP",Metal,13.78,10.18,holofoil
dpp-DP05,Tropical Wind,Trainer,Promo,DP Black Star Promos,2007,DP05,,Sumiyoshi Kizuki,Item,,,575.0,normal
pop4-5,Sceptile,Pokémon,Rare,POP Series 4,2006,5,100,Atsuko Nishida,Stage 2,Grass,194.98,179.99,normal
neo4-5,Dark Feraligatr,Pokémon,Rare Holo,Neo Destiny,2002,5,80,Atsuko Nishida,Stage 2,Water,,,
pop5-3,Mew δ,Pokémon,Rare,POP Series 5,2007,3,60,Masakazu Fukuda,Basic,Fire,140.52,306.0,normal
base5-4,Dark Charizard,Pokémon,Rare Holo,Team Rocket,2000,4,80,Ken Sugimori,Stage 2,Fire,,,
bw11-5,Carnivine,Pokémon,Uncommon,Legendary Treasures,2013,5,80,HiRON,Basic,Grass,0.33,0.32,normal
sm1-3,Butterfree,Pokémon,Rare,Sun & Moon,2017,3,130,chibi,Stage 2,Grass,0.34,0.33,normal
ecard2-H7,Electrode,Pokémon,Rare Holo,Aquapolis,2003,H7,70,Shin-ichi Yoshida,Stage 1,Lightning,,,
swsh35-6,Vulpix,Pokémon,Common,Champion's Path,2020,6,60,Shibuzoh.,Basic,Fire,0.24,0.24,normal
pop1-5,Swampert,Pokémon,Rare,POP Series 1,2004,5,100,Hiromichi Sugiyama,Stage 2,Water,10.26,90.07,normal
xy10-4,Mothim,Pokémon,Rare,Fates Collide,2016,4,90,MAHOU,Stage 1,Grass,0.28,0.29,normal
bw9-3,Beedrill,Pokémon,Rare,Plasma Freeze,2013,3,120,kawayoo,Stage 2,Grass,1.06,0.59,normal
ex9-6,Kyogre,Pokémon,Rare Holo,Emerald,2005,6,80,Masakazu Fukuda,Basic,Water,1.31,35.0,normal
bw6-4,Yanma,Pokémon,Common,Dragons Exalted,2012,4,70,Yukiko Baba,Basic,Grass,0.25,0.25,normal
ex3-6,Grumpig,Pokémon,Rare Holo,Dragon,2003,6,80,Midori Harada,Stage 1,Psychic,18.33,18.96,holofoil
neo4-6,Dark Gengar,Pokémon,Rare Holo,Neo Destiny,2002,6,70,Aya Kusube,Stage 2,Psychic,,,
dpp-DP06,Buneary,Pokémon,Promo,DP Black Star Promos,2007,DP06,50,Kagemaru Himeno,Basic,Colorless,6.83,4.0,holofoil
ru1-6,Gyarados,Pokémon,,Pokémon Rumble,2009,6,130,Pokemon Rumble,Stage 1,Water,280.29,349.99,normal
ex10-5,Flareon,Pokémon,Rare Holo,Unseen Forces,2005,5,70,Naoyo Kimura,Stage 1,Fire,79.47,187.5,holofoil
ecard2-H8,Entei,Pokémon,Rare Holo,Aquapolis,2003,H8,70,Atsuko Nishida,Basic,Fire,,,
base5-5,Dark Dragonite,Pokémon,Rare Holo,Team Rocket,2000,5,70,Mitsuhiro Arita,Stage 2,Colorless,,,
gym2-6,Giovanni's Machamp,Pokémon,Rare Holo,Gym Challenge,2000,6,100,Ken Sugimori,Stage 2,Fighting,,,
hgss2-5,Mismagius,Pokémon,Rare Holo,HS—Unleashed,2010,5,90,Hideaki Hakozaki,Stage 1,Psychic,5.33,7.95,holofoil
col1-5,Forretress,Pokémon,Rare Holo,Call of Legends,2011,5,90,Kyoko Umemoto,Stage 1,Metal,4.07,4.0,holofoil
dv1-8,Salamence,Pokémon,Rare Holo,Dragon Vault,2012,8,140,BERUBURI,Stage 2,Dragon,4.4,4.08,holofoil
sm3-5,Gloom,Pokémon,Uncommon,Burning Shadows,2017,5,80,Shibuzoh.,Stage 1,Grass,0.23,0.25,normal
pop6-6,Drifloon,Pokémon,Uncommon,POP Series 6,2007,6,60,Mitsuhiro Arita,Basic,Psychic,73.75,925.0,normal
basep-5,Dragonite,Pokémon,Promo,Wizards Black Star Promos,1999,5,90,Toshinao Aoki,Stage 2,Colorless,54.0,52.79,normal
si1-7,Ledyba,Pokémon,,Southern Islands,2001,7,40,Keiko Fukuyama,Basic,Grass,64.87,68.5,reverseHolofoil
mcd19-8,Mankey,Pokémon,,McDonald's Collection 2019,2019,8,60,Miki Tanaka,Basic,Fighting,6.69,5.0,holofoil
pl1-8,Gardevoir,Pokémon,Rare Holo,Platinum,2009,8,120,Kouki Saitou,Stage 2,Psychic,47.99,44.99,holofoil
bw4-5,Shaymin-EX,Pokémon,Rare Holo EX,Next Destinies,2012,5,110,Shizurow,"Basic, EX",Grass,8.93,51.25,holofoil
pop7-7,Flaaffy,Pokémon,Uncommon,POP Series 7,2008,7,80,Kagemaru Himeno,Stage 1,Lightning,24.84,39.0,normal
xy5-7,Grovyle,Pokémon,Uncommon,Primal Clash,2015,7,80,match,Stage 1,Grass,0.38,0.38,normal
sm2-5,Lilligant,Pokémon,Rare,Guardians Rising,2017,5,90,You Iribi,Stage 1,Grass,0.37,0.35,normal
bw11-6,Snivy,Pokémon,Common,Legendary Treasures,2013,6,60,Aya Kusube,Basic,Grass,0.4,0.35,normal
xy7-6,Ariados,Pokémon,Uncommon,Ancient Origins,2015,6,70,Hajime Kusajima,Stage 1,Grass,0.23,0.24,normal
ex11-7,Jolteon δ,Pokémon,Rare Holo,Delta Species,2005,7,70,Kouki Saitou,Stage 1,"Lightning, Metal",144.82,174.66,holofoil
sm75-4,Torchic,Pokémon,Common,Dragon Majesty,2018,4,60,Kouki Saitou,Basic,Fire,0.28,0.26,normal
bw9-4,Exeggcute,Pokémon,Uncommon,Plasma Freeze,2013,4,30,Shigenori Negishi,Basic,Grass,4.55,3.99,normal
pop1-6,Beautifly,Pokémon,Uncommon,POP Series 1,2004,6,100,Ken Sugimori,Stage 2,Grass,8.96,11.63,normal
ex12-8,Lapras,Pokémon,Rare Holo,Legend Maker,2006,8,80,Kagemaru Himeno,Basic,Water,47.77,242.45,holofoil
swsh1-5,Cottonee,Pokémon,Common,Sword & Shield,2020,5,60,ryoma uratsuka,Basic,Grass,0.13,0.16,normal
bw6-5,Yanmega,Pokémon,Rare,Dragons Exalted,2012,5,100,Naoki Saito,Stage 1,Grass,0.88,0.87,normal
base6-6,Dark Persian,Pokémon,Rare Holo,Legendary Collection,2002,6,60,Shin-ichi Yoshida,Stage 1,Colorless,33.68,39.54,holofoil
bw8-4,Combee,Pokémon,Common,Plasma Storm,2013,4,30,Yukiko Baba,Basic,Grass,0.28,0.28,normal
dp4-5,Pachirisu,Pokémon,Rare Holo,Great Encounters,2008,5,70,Hironobu Yoshida,Basic,Lightning,15.17,15.46,holofoil
xy1-5,Beedrill,Pokémon,Rare,XY,2014,5,120,Shin Nagasawa,Stage 2,Grass,0.65,0.6,normal
pl4-6,Mothim,Pokémon,Rare Holo,Arceus,2009,6,90,Kagemaru Himeno,Stage 1,Grass,3.04,4.9,holofoil
base3-8,Hypno,Pokémon,Rare Holo,Fossil,1999,8,90,Ken Sugimori,Stage 1,Psychic,,,
dp3-8,Gastrodon East Sea,Pokémon,Rare Holo,Secret Wonders,2007,8,100,Kazuyuki Kano,Stage 1,Water,9.47,8.91,holofoil
dp1-6,Lucario,Pokémon,Rare Holo,Diamond & Pearl,2007,6,90,Ken Sugimori,Stage 1,Fighting,55.77,58.54,holofoil
sm1-4,Paras,Pokémon,Common,Sun & Moon,2017,4,60,Ayaka Yoshida,Basic,Grass,0.09,0.15,normal
ex9-7,Manectric,Pokémon,Rare Holo,Emerald,2005,7,80,Masakazu Fukuda,Stage 1,Lightning,8.55,5.0,normal
bw7-6,Tangrowth,Pokémon,Rare Holo,Boundaries Crossed,2012,6,130,TOKIYA,Stage 1,Grass,2.67,2.94,holofoil
sm115-7,Charmander,Pokémon,Common,Hidden Fates,2019,7,70,Megumi Mizutani,Basic,Fire,0.21,0.25,normal
base4-6,Clefairy,Pokémon,Rare Holo,Base Set 2,2000,6,40,Ken Sugimori,Basic,Colorless,16.88,16.1,holofoil
ex8-5,Claydol,Pokémon,Rare Holo,Deoxys,2005,5,80,Hajime Kusajima,Stage 1,Fighting,6.09,14.99,normal
bw10-7,Shelmet,Pokémon,Common,Plasma Blast,2013,7,60,Sumiyoshi Kizuki,Basic,Grass,0.37,0.29,normal
swsh4-3,Beedrill,Pokémon,Rare,Vivid Voltage,2020,3,130,KEIICHIRO ITO,Stage 2,Grass,0.14,0.2,normal
xy11-7,Yanmega,Pokémon,Rare,Steam Siege,2016,7,110,Midori Harada,Stage 1,Grass,0.2,0.25,normal
bw5-5,Carnivine,Pokémon,Rare,Dark Explorers,2012,5,90,Yukiko Baba,Basic,Grass,1.31,1.5,normal
